Time [s],Dn,Dp,out_en
0.287469220,0,1,0
0.287469300,1,0,0
0.287469390,0,1,0
0.287469470,1,0,0
0.287469720,0,1,0
0.287469890,1,0,0
0.287469970,0,1,0
0.287470140,1,0,0
0.287470300,0,1,0
0.287470390,1,0,0
0.287470550,0,1,0
0.287470640,1,0,0
0.287471220,0,1,0
0.287471300,1,0,0
0.287471470,0,1,0
0.287471550,1,0,0
0.287471720,0,0,0
0.287471890,0,1,0
0.287473050,1,0,0
0.287473140,0,1,0
0.287473220,1,0,0
0.287473300,0,1,0
0.287473390,1,0,0
0.287473470,0,1,0
0.287473550,1,0,0
0.287473800,0,1,0
0.287473890,1,0,0
0.287474050,0,1,0
0.287474300,1,0,0
0.287474390,0,1,0
0.287474550,1,0,0
0.287474640,0,1,0
0.287474720,1,0,0
0.287474800,0,1,0
0.287474890,1,0,0
0.287474970,0,1,0
0.287475140,1,0,0
0.287475220,0,1,0
0.287475300,1,0,0
0.287475390,0,1,0
0.287475470,1,0,0
0.287475550,0,1,0
0.287475720,0,0,0
0.287475890,0,1,0
0.288468970,1,0,0
0.288469050,0,1,0
0.288469130,1,0,0
0.288469220,0,1,0
0.288469300,1,0,0
0.288469380,0,1,0
0.288469470,1,0,0
0.288469720,0,1,0
0.288469880,1,0,0
0.288469970,0,1,0
0.288470130,1,0,0
0.288470380,0,1,0
0.288470550,1,0,0
0.288470630,0,1,0
0.288471220,1,0,0
0.288471380,0,1,0
0.288471630,1,0,0
0.288471720,0,0,0
0.288471880,0,1,0
0.289468970,1,0,0
0.289469050,0,1,0
0.289469130,1,0,0
0.289469210,0,1,0
0.289469300,1,0,0
0.289469380,0,1,0
0.289469460,1,0,0
0.289469710,0,1,0
0.289469880,1,0,0
0.289469960,0,1,0
0.289470130,1,0,0
0.289470300,0,1,0
0.289470550,1,0,0
0.289470630,0,1,0
0.289471210,1,0,0
0.289471380,0,1,0
0.289471550,1,0,0
0.289471630,0,1,0
0.289471710,0,0,0
0.289471880,0,1,0
0.290468960,1,0,0
0.290469040,0,1,0
0.290469130,1,0,0
0.290469210,0,1,0
0.290469290,1,1,0
0.290469300,1,0,0
0.290469380,0,1,0
0.290469460,1,0,0
0.290469710,0,1,0
0.290469880,1,0,0
0.290469960,0,1,0
0.290470130,1,0,0
0.290470540,0,1,0
0.290470630,1,0,0
0.290471210,0,1,0
0.290471290,1,0,0
0.290471460,0,1,0
0.290471710,0,0,0
0.290471880,0,1,0
0.291468960,1,0,0
0.291469040,0,1,0
0.291469130,1,0,0
0.291469210,0,1,0
0.291469290,1,0,0
0.291469370,0,1,0
0.291469460,1,0,0
0.291469710,0,1,0
0.291469880,1,0,0
0.291469960,0,1,0
0.291470130,1,0,0
0.291470290,0,1,0
0.291470380,1,0,0
0.291470460,0,1,0
0.291470630,1,0,0
0.291471210,0,1,0
0.291471460,1,0,0
0.291471710,0,0,0
0.291471870,0,1,0
0.291473040,1,0,0
0.291473120,0,1,0
0.291473210,1,0,0
0.291473290,0,1,0
0.291473380,1,0,0
0.291473460,0,1,0
0.291473540,1,0,0
0.291473790,0,1,0
0.291473880,1,0,0
0.291474040,0,1,0
0.291474290,1,0,0
0.291474370,0,1,0
0.291474540,1,0,0
0.291474620,0,1,0
0.291474710,1,0,0
0.291474790,0,1,0
0.291474880,1,0,0
0.291474960,0,1,0
0.291475130,1,0,0
0.291475210,0,1,0
0.291475290,1,0,0
0.291475370,0,1,0
0.291475460,1,0,0
0.291475540,0,1,0
0.291475710,0,0,0
0.291475870,0,1,0
0.292468960,1,0,0
0.292469040,0,1,0
0.292469120,1,0,0
0.292469200,0,0,0
0.292469210,0,1,0
0.292469290,1,0,0
0.292469370,0,1,0
0.292469460,1,0,0
0.292469710,0,1,0
0.292469870,1,0,0
0.292469950,0,0,0
0.292469960,0,1,0
0.292470120,1,0,0
0.292470370,0,1,0
0.292470460,1,0,0
0.292470620,0,1,0
0.292471210,1,0,0
0.292471290,0,1,0
0.292471370,1,0,0
0.292471540,0,1,0
0.292471620,1,0,0
0.292471700,0,0,0
0.292471870,0,1,0
0.293354700,0,0,0
0.293354710,1,0,0
0.293354790,0,1,0
0.293354870,1,0,0
0.293354950,0,1,0
0.293355040,1,0,0
0.293355120,0,1,0
0.293355200,1,0,0
0.293355450,0,1,0
0.293355700,1,0,0
0.293355870,0,1,0
0.293355950,1,0,0
0.293356120,0,1,0
0.293356200,1,0,0
0.293356290,0,1,0
0.293356370,1,0,0
0.293356450,0,1,0
0.293356620,1,0,0
0.293356700,0,1,0
0.293356790,1,0,0
0.293356870,0,1,0
0.293356950,1,0,0
0.293357200,0,1,0
0.293357370,0,0,0
0.293357540,0,1,0
0.293357870,1,0,0
0.293357950,0,1,0
0.293358040,1,0,0
0.293358120,0,1,0
0.293358200,1,0,0
0.293358290,0,1,0
0.293358370,1,0,0
0.293358700,0,1,0
0.293358790,1,0,0
0.293358870,0,1,0
0.293358950,1,0,0
0.293359200,0,1,0
0.293359290,1,0,0
0.293359370,0,1,0
0.293359450,1,0,0
0.293359540,0,1,0
0.293359620,1,0,0
0.293359700,0,1,0
0.293359870,1,0,0
0.293360120,0,1,0
0.293360200,1,0,0
0.293360290,0,1,0
0.293360370,1,0,0
0.293360450,0,1,0
0.293360540,1,0,0
0.293360620,0,1,0
0.293360700,1,0,0
0.293360790,0,1,0
0.293360870,1,0,0
0.293360950,0,1,0
0.293361040,1,0,0
0.293361120,0,1,0
0.293361290,1,0,0
0.293361370,0,1,0
0.293361450,1,0,0
0.293361540,0,1,0
0.293361620,1,0,0
0.293361700,0,1,0
0.293361790,1,0,0
0.293361870,0,1,0
0.293361950,1,0,0
0.293362040,0,1,0
0.293362120,1,0,0
0.293362200,0,1,0
0.293362290,1,0,0
0.293362370,0,1,0
0.293362450,1,0,0
0.293362540,0,1,0
0.293362620,1,0,0
0.293362700,0,1,0
0.293362790,1,0,0
0.293362870,0,1,0
0.293362950,1,0,0
0.293363040,0,1,0
0.293363120,1,0,0
0.293363200,0,1,0
0.293363370,1,0,0
0.293363450,0,1,0
0.293363620,1,0,0
0.293363700,0,1,0
0.293363790,1,0,0
0.293363870,0,1,0
0.293363950,1,0,0
0.293364040,0,1,0
0.293364120,1,0,0
0.293364200,0,1,0
0.293364290,1,0,0
0.293364370,0,1,0
0.293364450,1,0,0
0.293364540,0,1,0
0.293364620,1,0,0
0.293364700,0,1,0
0.293364790,1,0,0
0.293364870,0,1,0
0.293365200,1,0,0
0.293365290,0,1,0
0.293365450,1,0,0
0.293365870,0,0,0
0.293366040,0,1,0
